time,real,imag
0.000000,-2.186906,-2.053641
0.031416,-3.000000,0.000000
0.062832,-3.000000,0.000000
0.094248,-3.000000,0.000000
0.125664,-3.000000,0.000000
0.157080,-3.000000,0.000000
0.188496,-3.000000,0.000000
0.219912,-3.000000,0.000000
0.251327,-3.000000,0.000000
0.282743,-3.000000,0.000000
0.314159,-3.000000,0.000000
0.345575,-3.000000,0.000000
0.376991,-3.000000,0.000000
0.408407,-3.000000,0.000000
0.439823,-3.000000,0.000000
0.471239,-3.000000,0.000000
0.502655,-3.000000,0.000000
0.534071,-3.000000,0.000000
0.565487,-3.000000,0.000000
0.596903,-3.000000,0.000000
0.628319,-3.000000,0.000000
0.659735,-3.000000,0.000000
0.691150,-3.000000,0.000000
0.722566,-3.000000,0.000000
0.753982,-3.000000,0.000000
0.785398,-3.000000,0.000000
0.816814,-3.000000,0.000000
0.848230,-3.000000,0.000000
0.879646,-3.000000,0.000000
0.911062,-3.000000,0.000000
0.942478,-3.000000,0.000000
0.973894,-3.000000,0.000000
1.005310,-3.000000,0.000000
1.036726,-3.000000,0.000000
1.068142,-3.000000,0.000000
1.099557,-3.000000,0.000000
1.130973,-3.000000,0.000000
1.162389,-3.000000,0.000000
1.193805,-3.000000,0.000000
1.225221,-3.000000,0.000000
1.256637,-3.000000,0.000000
1.288053,-3.000000,0.000000
1.319469,-3.000000,0.000000
1.350885,-3.000000,0.000000
1.382301,-3.000000,0.000000
1.413717,-3.000000,0.000000
1.445133,-3.000000,0.000000
1.476549,-3.000000,0.000000
1.507964,-3.000000,0.000000
1.539380,-3.000000,0.000000
1.570796,-3.000000,0.000000
1.602212,-3.000000,0.000000
1.633628,-3.000000,0.000000
1.665044,-3.000000,0.000000
1.696460,-3.000000,0.000000
1.727876,-3.000000,0.000000
1.759292,-3.000000,0.000000
1.790708,-3.000000,0.000000
1.822124,-3.000000,0.000000
1.853540,-3.000000,0.000000
1.884956,-3.000000,0.000000
1.916372,-3.000000,0.000000
1.947787,-3.000000,0.000000
1.979203,-3.000000,0.000000
2.010619,-3.000000,0.000000
2.042035,-3.000000,0.000000
2.073451,-3.000000,0.000000
2.104867,-3.000000,0.000000
2.136283,-3.000000,0.000000
2.167699,-3.000000,0.000000
2.199115,-3.000000,0.000000
2.230531,-3.000000,0.000000
2.261947,-3.000000,0.000000
2.293363,-3.000000,0.000000
2.324779,-3.000000,0.000000
2.356194,-3.000000,0.000000
2.387610,-3.000000,0.000000
2.419026,-3.000000,0.000000
2.450442,-3.000000,0.000000
2.481858,-3.000000,0.000000
2.513274,-3.000000,0.000000
2.544690,-3.000000,0.000000
2.576106,-3.000000,0.000000
2.607522,-3.000000,0.000000
2.638938,-3.000000,0.000000
2.670354,-3.000000,0.000000
2.701770,-3.000000,0.000000
2.733186,-3.000000,0.000000
2.764602,-3.000000,0.000000
2.796017,-3.000000,0.000000
2.827433,-3.000000,0.000000
2.858849,-3.000000,0.000000
2.890265,-3.000000,0.000000
2.921681,-3.000000,0.000000
2.953097,-3.000000,0.000000
2.984513,-3.000000,0.000000
3.015929,-3.000000,0.000000
3.047345,-3.000000,0.000000
3.078761,-3.000000,0.000000
3.110177,-3.000000,0.000000
3.141593,-3.000000,0.000000
3.173009,-3.000000,0.000000
3.204425,-3.000000,0.000000
3.235840,-3.000000,0.000000
3.267256,-3.000000,0.000000
3.298672,-3.000000,0.000000
3.330088,-3.000000,0.000000
3.361504,-3.000000,0.000000
3.392920,-3.000000,0.000000
3.424336,-3.000000,0.000000
3.455752,-3.000000,0.000000
3.487168,-3.000000,0.000000
3.518584,-3.000000,0.000000
3.550000,-3.000000,0.000000
3.581416,-3.000000,0.000000
3.612832,-3.000000,0.000000
3.644247,-3.000000,0.000000
3.675663,-3.000000,0.000000
3.707079,-3.000000,0.000000
3.738495,-3.000000,0.000000
3.769911,-3.000000,0.000000
3.801327,-3.000000,0.000000
3.832743,-3.000000,0.000000
3.864159,-3.000000,0.000000
3.895575,-3.000000,0.000000
3.926991,-3.000000,0.000000
3.958407,-3.000000,0.000000
3.989823,-3.000000,0.000000
4.021239,-3.000000,0.000000
4.052655,-3.000000,0.000000
4.084070,-3.000000,0.000000
4.115486,-3.000000,0.000000
4.146902,-3.000000,0.000000
4.178318,-3.000000,0.000000
4.209734,-3.000000,0.000000
4.241150,-3.000000,0.000000
4.272566,-3.000000,0.000000
4.303982,-3.000000,0.000000
4.335398,-3.000000,0.000000
4.366814,-3.000000,0.000000
4.398230,-3.000000,0.000000
4.429646,-3.000000,0.000000
4.461062,-3.000000,0.000000
4.492477,-3.000000,0.000000
4.523893,-3.000000,0.000000
4.555309,-3.000000,0.000000
4.586725,-3.000000,0.000000
4.618141,-3.000000,0.000000
4.649557,-3.000000,0.000000
4.680973,-3.000000,0.000000
4.712389,-3.000000,0.000000
4.743805,-3.000000,0.000000
4.775221,-3.000000,0.000000
4.806637,-3.000000,0.000000
4.838053,-3.000000,0.000000
4.869469,-3.000000,0.000000
4.900885,-3.000000,0.000000
4.932300,-3.000000,0.000000
4.963716,-3.000000,0.000000
4.995132,-3.000000,0.000000
5.026548,-3.000000,0.000000
5.057964,-3.000000,0.000000
5.089380,-3.000000,0.000000
5.120796,-3.000000,0.000000
5.152212,-3.000000,0.000000
5.183628,-3.000000,0.000000
5.215044,-3.000000,0.000000
5.246460,-3.000000,0.000000
5.277876,-3.000000,0.000000
5.309292,-3.000000,0.000000
5.340708,-3.000000,0.000000
5.372123,-3.000000,0.000000
5.403539,-3.000000,0.000000
5.434955,-3.000000,0.000000
5.466371,-3.000000,0.000000
5.497787,-3.000000,0.000000
5.529203,-3.000000,0.000000
5.560619,-3.000000,0.000000
5.592035,-3.000000,0.000000
5.623451,-3.000000,0.000000
5.654867,-3.000000,0.000000
