time,real,imag
0.000000,0.020000,-0.000000
0.062832,0.000000,0.000000
0.125664,0.018011,-0.007131
0.188496,0.015701,-0.009964
0.251327,0.012776,-0.011997
0.314159,0.009511,-0.013090
0.376991,0.006208,-0.013192
0.439823,0.003170,-0.012348
0.502655,0.000673,-0.010695
0.565487,-0.001067,-0.008448
0.628319,-0.001910,-0.005878
0.691150,-0.001805,-0.003284
0.753982,-0.000800,-0.000968
0.816814,0.000968,0.000800
0.879646,0.003284,0.001805
0.942478,0.005878,0.001910
1.005310,0.008448,0.001067
1.068142,0.010695,-0.000673
1.130973,0.012348,-0.003170
1.193805,0.013192,-0.006208
1.256637,0.013090,-0.009511
1.319469,0.011997,-0.012776
1.382301,0.009964,-0.015701
1.445133,0.007131,-0.018011
1.507964,0.003718,-0.019491
1.570796,-0.000000,-0.020000
1.633628,-0.003718,-0.019491
1.696460,-0.007131,-0.018011
1.759292,-0.009964,-0.015701
1.822124,-0.011997,-0.012776
1.884956,-0.013090,-0.009511
1.947787,-0.013192,-0.006208
2.010619,-0.012348,-0.003170
2.073451,-0.010695,-0.000673
2.136283,-0.008448,0.001067
2.199115,-0.005878,0.001910
2.261947,-0.003284,0.001805
2.324779,-0.000968,0.000800
2.387610,0.000800,-0.000968
2.450442,0.001805,-0.003284
2.513274,0.001910,-0.005878
2.576106,0.001067,-0.008448
2.638938,-0.000673,-0.010695
2.701770,-0.003170,-0.012348
2.764602,-0.006208,-0.013192
2.827433,-0.009511,-0.013090
2.890265,-0.012776,-0.011997
2.953097,-0.015701,-0.009964
3.015929,-0.018011,-0.007131
3.078761,-0.019491,-0.003718
3.141593,-0.020000,0.000000
3.204425,-0.019491,0.003718
3.267256,-0.018011,0.007131
3.330088,-0.015701,0.009964
3.392920,-0.012776,0.011997
3.455752,-0.009511,0.013090
3.518584,-0.006208,0.013192
3.581416,-0.003170,0.012348
3.644247,-0.000673,0.010695
3.707079,0.001067,0.008448
3.769911,0.001910,0.005878
3.832743,0.001805,0.003284
3.895575,0.000800,0.000968
3.958407,-0.000968,-0.000800
4.021239,-0.003284,-0.001805
4.084070,-0.005878,-0.001910
4.146902,-0.008448,-0.001067
4.209734,-0.010695,0.000673
4.272566,-0.012348,0.003170
4.335398,-0.013192,0.006208
4.398230,-0.013090,0.009511
4.461062,-0.011997,0.012776
4.523893,-0.009964,0.015701
4.586725,-0.007131,0.018011
4.649557,-0.003718,0.019491
4.712389,-0.000000,0.020000
4.775221,0.003718,0.019491
4.838053,0.007131,0.018011
4.900885,0.009964,0.015701
4.963716,0.011997,0.012776
5.026548,0.013090,0.009511
5.089380,0.013192,0.006208
5.152212,0.012348,0.003170
5.215044,0.010695,0.000673
5.277876,0.008448,-0.001067
5.340708,0.005878,-0.001910
5.403539,0.003284,-0.001805
5.466371,0.000968,-0.000800
5.529203,-0.000800,0.000968
5.592035,-0.001805,0.003284
5.654867,-0.001910,0.005878
5.717699,-0.001067,0.008448
5.780530,0.000673,0.010695
5.843362,0.003170,0.012348
5.906194,0.006208,0.013192
5.969026,0.009511,0.013090
6.031858,0.012776,0.011997
6.094690,0.015701,0.009964
6.157522,0.018011,0.007131
6.220353,0.019491,0.003718
