time,real,imag
0.000000,2.000000,0.000000
0.063467,1.948058,0.375457
0.126933,1.797225,0.719500
0.190400,1.561986,1.003827
0.253866,1.264869,1.206050
0.317333,0.934205,1.311908
0.380799,0.601300,1.316663
0.444266,0.297317,1.225557
0.507732,0.050173,1.053257
0.571199,-0.118239,0.822373
0.634665,-0.194226,0.561180
0.698132,-0.173648,0.300767
0.761598,-0.062319,0.071920
0.825065,0.124589,-0.097978
0.888531,0.364079,-0.187696
0.951998,0.627639,-0.184291
1.015464,0.884112,-0.084422
1.078931,1.102824,0.105307
1.142397,1.256669,0.368991
1.205864,1.324835,0.683000
1.269330,1.294907,1.018326
1.332797,1.164127,1.343474
1.396263,0.939693,1.627595
1.459730,0.638064,1.843564
1.523196,0.283341,1.970679
1.586663,-0.095116,1.996729
1.650129,-0.465595,1.919209
1.713596,-0.797176,1.745571
1.777063,-1.062790,1.492480
1.840529,-1.241904,1.184153
1.903996,-1.322540,0.849945
1.967462,-1.302454,0.521424
2.030929,-1.189331,0.229225
2.094395,-1.000000,-0.000000
2.157862,-0.758727,-0.146233
2.221328,-0.494771,-0.198077
2.284795,-0.239446,-0.153882
2.348261,-0.022965,-0.021898
2.411728,0.128585,0.180572
2.475194,0.195876,0.428908
2.538661,0.168278,0.693652
2.602127,0.044943,0.943472
2.665594,-0.165101,1.148306
2.729060,-0.443837,1.282384
2.792527,-0.766044,1.326828
2.855993,-1.101808,1.271554
2.919460,-1.419496,1.116304
2.982926,-1.688914,0.870696
3.046393,-1.884307,0.553283
3.109859,-1.986935,0.189729
3.173326,-1.986935,-0.189729
3.236792,-1.884307,-0.553283
3.300259,-1.688914,-0.870696
3.363725,-1.419496,-1.116304
3.427192,-1.101808,-1.271554
3.490659,-0.766044,-1.326828
3.554125,-0.443837,-1.282384
3.617592,-0.165101,-1.148306
3.681058,0.044943,-0.943472
3.744525,0.168278,-0.693652
3.807991,0.195876,-0.428908
3.871458,0.128585,-0.180572
3.934924,-0.022965,0.021898
3.998391,-0.239446,0.153882
4.061857,-0.494771,0.198077
4.125324,-0.758727,0.146233
4.188790,-1.000000,-0.000000
4.252257,-1.189331,-0.229225
4.315723,-1.302454,-0.521424
4.379190,-1.322540,-0.849945
4.442656,-1.241904,-1.184153
4.506123,-1.062790,-1.492480
4.569589,-0.797176,-1.745571
4.633056,-0.465595,-1.919209
4.696522,-0.095116,-1.996729
4.759989,0.283341,-1.970679
4.823455,0.638064,-1.843564
4.886922,0.939693,-1.627595
4.950388,1.164127,-1.343474
5.013855,1.294907,-1.018326
5.077321,1.324835,-0.683000
5.140788,1.256669,-0.368991
5.204254,1.102824,-0.105307
5.267721,0.884112,0.084422
5.331188,0.627639,0.184291
5.394654,0.364079,0.187696
5.458121,0.124589,0.097978
5.521587,-0.062319,-0.071920
5.585054,-0.173648,-0.300767
5.648520,-0.194226,-0.561180
5.711987,-0.118239,-0.822373
5.775453,0.050173,-1.053257
5.838920,0.297317,-1.225557
5.902386,0.601300,-1.316663
5.965853,0.934205,-1.311908
6.029319,1.264869,-1.206050
6.092786,1.561986,-1.003827
6.156252,1.797225,-0.719500
6.219719,1.948058,-0.375457
6.283185,2.000000,-0.000000
