time,real,imag
0.000000,0.000000,-0.000000
0.031416,-3.152195,-3.220077
0.062832,-0.244979,-3.128026
0.094248,0.112974,-1.527922
0.125664,-0.972129,-2.019931
0.157080,5.040003,-4.004769
0.188496,3.052898,-3.938162
0.219912,4.606823,-1.271570
0.251327,3.485530,0.917956
0.282743,2.106848,1.003159
0.314159,7.120102,0.737661
0.345575,2.190474,1.562721
0.376991,1.048671,2.329980
0.408407,-0.323554,1.824804
0.439823,-0.814155,0.759285
0.471239,4.098043,-0.077775
0.502655,-0.909747,-1.218685
0.534071,0.090572,-2.671478
0.565487,2.151375,-3.006892
0.596903,3.524737,-1.867319
0.628319,8.557546,-1.102916
0.659735,4.203203,-1.546836
0.691150,6.546091,-0.989820
0.722566,8.123386,2.201829
0.753982,6.511693,5.626592
0.785398,8.631370,6.156854
0.816814,2.983254,5.040017
0.848230,3.897471,5.902131
0.879646,2.617374,8.536717
0.911062,-1.223530,8.982221
0.942478,1.397531,6.056299
0.973894,-2.449619,3.461452
1.005310,-0.802837,3.913421
1.036726,-1.654214,5.103144
1.068142,-3.265123,3.974039
1.099557,2.494804,1.811530
1.130973,-0.131509,1.847309
1.162389,0.686756,3.992838
1.193805,-0.588647,5.460018
1.225221,-1.773882,5.382237
1.256637,2.967376,5.398571
1.288053,-2.712634,6.156888
1.319469,-4.352242,6.423021
1.350885,-5.869649,5.677867
1.382301,-6.876362,4.752101
1.413717,-3.056298,3.663708
1.445133,-8.977100,1.536585
1.476549,-8.264069,-0.979709
1.507964,-6.421960,-1.996178
1.539380,-5.638578,-1.690840
1.570796,-1.000000,-2.400000
1.602212,-4.945817,-4.409719
1.633628,-1.824479,-4.804846
1.665044,0.190573,-2.251969
1.696460,-1.084143,0.180307
1.727876,1.942122,-0.396535
1.759292,-2.440407,-1.996486
1.790708,-0.703917,-1.105301
1.822124,-1.618424,1.267042
1.853540,-4.793386,1.055071
1.884956,-1.057546,-2.209881
1.916372,-4.043492,-4.647473
1.947787,-2.016726,-4.258980
1.979203,-2.243060,-3.670107
2.010619,-2.554675,-5.247514
2.042035,4.580529,-7.193724
2.073451,2.880073,-6.781531
2.104867,4.651329,-4.608183
2.136283,4.907102,-2.962229
2.167699,5.358000,-2.040615
2.199115,11.074604,-0.548096
2.230531,5.903086,1.413168
2.261947,4.980459,2.749316
2.293363,4.220201,3.614314
2.324779,3.241422,4.692747
2.356194,6.368629,5.156854
2.387610,-0.161435,3.977809
2.419026,0.244953,2.505417
2.450442,1.426505,2.833007
2.481858,0.973733,4.085051
2.513274,4.532623,3.599365
2.544690,0.119894,1.775195
2.576106,2.804449,2.059104
2.607522,3.870051,5.287235
2.638938,1.596350,7.848229
2.670354,4.152861,7.309445
2.701770,-0.597180,6.313081
2.733186,0.136344,8.029811
2.764602,-2.196107,10.679884
2.796017,-6.466822,10.317583
2.827433,-3.592238,7.170542
2.858849,-7.924212,5.033322
2.890265,-7.703582,5.110428
2.921681,-9.370735,4.660040
2.953097,-10.510113,2.074176
2.984513,-4.252066,-0.562561
3.015929,-7.151948,-1.161032
3.047345,-6.221896,-0.630425
3.078761,-6.017230,-0.570024
3.110177,-5.436146,-0.626779
3.141593,-0.000000,0.000000
3.173009,-5.436146,0.626779
3.204425,-6.017230,0.570024
3.235840,-6.221896,0.630425
3.267256,-7.151948,1.161032
3.298672,-4.252066,0.562561
3.330088,-10.510113,-2.074176
3.361504,-9.370735,-4.660040
3.392920,-7.703582,-5.110428
3.424336,-7.924212,-5.033322
3.455752,-3.592238,-7.170542
3.487168,-6.466822,-10.317583
3.518584,-2.196107,-10.679884
3.550000,0.136344,-8.029811
3.581416,-0.597180,-6.313081
3.612832,4.152861,-7.309445
3.644247,1.596350,-7.848229
3.675663,3.870051,-5.287235
3.707079,2.804449,-2.059104
3.738495,0.119894,-1.775195
3.769911,4.532623,-3.599365
3.801327,0.973733,-4.085051
3.832743,1.426505,-2.833007
3.864159,0.244953,-2.505417
3.895575,-0.161435,-3.977809
3.926991,6.368629,-5.156854
3.958407,3.241422,-4.692747
3.989823,4.220201,-3.614314
4.021239,4.980459,-2.749316
4.052655,5.903086,-1.413168
4.084070,11.074604,0.548096
4.115486,5.358000,2.040615
4.146902,4.907102,2.962229
4.178318,4.651329,4.608183
4.209734,2.880073,6.781531
4.241150,4.580529,7.193724
4.272566,-2.554675,5.247514
4.303982,-2.243060,3.670107
4.335398,-2.016726,4.258980
4.366814,-4.043492,4.647473
4.398230,-1.057546,2.209881
4.429646,-4.793386,-1.055071
4.461062,-1.618424,-1.267042
4.492477,-0.703917,1.105301
4.523893,-2.440407,1.996486
4.555309,1.942122,0.396535
4.586725,-1.084143,-0.180307
4.618141,0.190573,2.251969
